name,price,rate
**********,Travel,**********
It's Only the Himalayas,45.17,2
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,4
See America: A Celebration of Our National Parks & Treasured Sites,48.87,3
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2
Under the Tuscan Sun,37.33,3
A Summer In Europe,44.34,2
The Great Railway Bazaar,30.54,1
A Year in Provence (Provence #1),56.88,4
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,1
Neither Here nor There: Travels in Europe,38.95,3
"1,000 Places to See Before You Die",26.08,5
**********,Mystery,**********
Sharp Objects,47.82,4
"In a Dark, Dark Wood",19.63,1
The Past Never Ends,56.50,4
A Murder in Time,16.64,1
The Murder of Roger Ackroyd (Hercule Poirot #4),44.10,4
The Last Mile (Amos Decker #2),54.21,2
That Darkness (Gardiner and Renner #1),13.92,1
Tastes Like Fear (DI Marnie Rome #3),10.69,1
A Time of Torment (Charlie Parker #14),48.35,5
A Study in Scarlet (Sherlock Holmes #1),16.73,2
Poisonous (Max Revere Novels #3),26.80,3
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4
Most Wanted,35.28,3
Hide Away (Eve Duncan #20),11.84,1
Boar Island (Anna Pigeon #19),59.48,3
The Widow,27.26,2
Playing with Fire,13.71,3
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.30,5
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4
The Mysterious Affair at Styles (Hercule Poirot #1),24.80,4
In the Woods (Dublin Murder Squad #1),38.38,2
The Silkworm (Cormoran Strike #2),23.05,5
The Exiled,43.45,3
The Cuckoo's Calling (Cormoran Strike #1),19.21,1
Extreme Prey (Lucas Davenport #26),25.40,3
Career of Evil (Cormoran Strike #3),24.72,2
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.70,4
The Girl You Lost,12.29,5
The Girl In The Ice (DCI Erika Foster #1),15.85,3
Blood Defense (Samantha Brinkman #1),20.30,3
1st to Die (Women's Murder Club #1),53.98,1
**********,Historical,**********
Tipping the Velvet,53.74,1
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3
A Flight of Arrows (The Pathfinders #2),55.53,5
The House by the Lake,36.95,1
