title,company_name,location,description,link
Data Science Instructor,EpsilonAI -,"Nasr City, Cairo, Egypt ",Full TimePart TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · Data Science · Computer Science · Computer Engineering · Python · Machine Learning · Deep Learning · Artificial Intelligence (AI),https://wuzzuf.net/jobs/p/6EdqURmRczoK-Data-Science-Instructor-EpsilonAI-Cairo-Egypt?o=1&l=sp&t=sj&a=data science jobs|search-v3|navbl
Data Analyst,Gila Electric -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Accounting/Finance · IT/Software Development · Analyst/Research · Analysis · business · Computer Science · Commerce · analytical · Communication skills · Analyst,https://wuzzuf.net/jobs/p/adeG14H7rqQA-Data-Analyst-Gila-Electric-Cairo-Egypt?o=2&l=sp&t=sj&a=data science jobs|search-v3|navbl
Data Analyst,Hands of Hope Physical Therapy & Wellness -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 18 Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · Analyst · Data · Data Analysis · Data Analyst · Information Technology (IT) · Tableau · SPSS,https://wuzzuf.net/jobs/p/9AAaTU2msaG5-Data-Analyst-Hands-of-Hope-Physical-Therapy-Wellness-Cairo-Egypt?o=3&l=sp&t=sj&a=data science jobs|search-v3|navbl
Data Scientist,Confidential -,"Riyadh, Saudi Arabia ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Data Science · Hadoop · Information Technology (IT) · Machine Learning · Naive Bayes · Programming,https://wuzzuf.net/jobs/p/OjuPwsoJjnOC-Data-Scientist-Riyadh-Saudi-Arabia?o=4&l=sp&t=sj&a=data science jobs|search-v3|navbl
Network & Data Engineer -Second Line Support,Confidential -,"Obour City, Cairo, Egypt ",Full TimeExperienced · 7 - 10 Yrs of Exp · males_only · IT/Software Development · Manufacturing/Production · Engineering - Telecom/Technology · · CCNA Security · Veeam · SCDPM · Engineering · Technical Support · Information Technology (IT) · Troubleshooting,https://wuzzuf.net/jobs/p/o9ntjhmKwbz5-Network-Data-Engineer--Second-Line-Support-Cairo-Egypt?o=5&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Data Scientist,Fixed Solutions -,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Analysis · APIs · Computer Science · Engineering · Information Technology (IT) · Java · Programming · Software,https://wuzzuf.net/jobs/p/PVAeMhWwvA6Q-Senior-Data-Scientist-Fixed-Solutions-Cairo-Egypt?o=6&l=sp&t=sj&a=data science jobs|search-v3|navbl
Data Engineer,Cilantro -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Science · Data Analysis · Data Analytics · Data Engineering · Data · Database · Information Technology (IT),https://wuzzuf.net/jobs/p/Vd4JAvFk3kzv-Data-Engineer-Cilantro-Cairo-Egypt?o=7&l=sp&t=sj&a=data science jobs|search-v3|navbl
Data Center Engineer,Perfect Presentation -,"6th of October, Giza, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · Computer Engineering · Information Technology (IT),https://wuzzuf.net/jobs/p/GCjdeXgdcmQf-Data-Center-Engineer-Perfect-Presentation-Giza-Egypt?o=8&l=sp&t=sj&a=data science jobs|search-v3|navbl
Data Profiler - 3 Months Internship,Webhelp -,"New Cairo, Cairo, Egypt ",InternshipEntry Level · 0 - 1 Yrs of Exp · Administration · Business Development · IT/Software Development · Computer Science · Data Entry · Customer Support · Microsoft Office · Customer Service · Customer Care,https://wuzzuf.net/internship/WI6D8retv6ak-Data-Profiler---3-Months-Internship-Webhelp-Cairo-Egypt?o=9&l=sp&t=sj&a=data science jobs|search-v3|navbl
Data Engineers / Senior (Multinational Company),Hala Consulting  -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · back-end · Computer Science · Data · Software Development · Software Engineering · Architecture · AWS,https://wuzzuf.net/jobs/p/bImU6Lr0L1ch-Data-Engineers-Senior-Multinational-Company-Hala-Consulting-Cairo-Egypt?o=10&l=sp&t=sj&a=data science jobs|search-v3|navbl
Data Analyst - Quality Assurance Department,IdealRatings -,"Heliopolis, Cairo, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · Accounting/Finance · Quality · Analyst/Research · Finance · Quality Assurance · Economic Statistics · Skills · Detail Oriented · QA · English,https://wuzzuf.net/jobs/p/SmiRP57Qnyx1-Data-Analyst---Quality-Assurance-Department-IdealRatings-Cairo-Egypt?o=11&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Data Scientist,BBI-Consultancy -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Data · Data Science · data scientist · Information Technology (IT) · Python · Statistics,https://wuzzuf.net/jobs/p/jX5wf4UC6hGY-Senior-Data-Scientist-BBI-Consultancy-Cairo-Egypt?o=12&l=sp&t=sj&a=data science jobs|search-v3|navbl
Data Center Network Engineer,Confidential -,"6th of October, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software · Software Development · Software Engineering · Operations · TCP,https://wuzzuf.net/jobs/p/fD8sx3t6uEzs-Data-Center-Network-Engineer-Giza-Egypt?o=13&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Data Engineer- Banha,Z2 Data -,"Qalubia, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Other · Data · Communication · MS Office · Analysis · Engineering · Computer Science · Data Administration,https://wuzzuf.net/jobs/p/gPlkgoEtHL4N-Senior-Data-Engineer--Banha-Z2-Data-Qalubia-Egypt?o=14&l=sp&t=sj&a=data science jobs|search-v3|navbl
Data Engineer - KSA,Confidential -,"Riyadh, Saudi Arabia ",Full TimeExperienced · 2 - 6 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Engineering · SQL Server · Information Technology (IT) · Computer Engineering · Programming · Security,https://wuzzuf.net/jobs/p/HdxnQ56kyO8v-Data-Engineer---KSA-Riyadh-Saudi-Arabia?o=15&l=sp&t=sj&a=data science jobs|search-v3|navbl
Senior Data Analyst,Z2 Data -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Analyst/Research · Data Analysis · Analysis · Administration · Computer Science · Data Analyst · Database · Data · Analyst · Information Technology (IT),https://wuzzuf.net/jobs/p/ecDQZn7zPGxQ-Senior-Data-Analyst-Z2-Data-Cairo-Egypt?o=16&l=sp&t=sj&a=data science jobs|search-v3|navbl
Data Analyst - Banha,Z2 Data -,"Banha, Qalubia, Egypt ",Full TimeEntry Level · 0 - 3 Yrs of Exp · Business Development · Analyst/Research · Analysis · Commerce · Computer Science · Data Analysis · English · MS Office · Information Technology (IT),https://wuzzuf.net/jobs/p/5JCxxhUwHrzn-Data-Analyst---Banha-Z2-Data-Qalubia-Egypt?o=17&l=sp&t=sj&a=data science jobs|search-v3|navbl
Enterprise Sr. Specialist (Data Analyst),B.TECH -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 7 - 10 Yrs of Exp · IT/Software Development · Project/Program Management · Engineering · Software Engineering · Computer Science · Information Technology (IT) · Enterprise Softwar · Enterprise Architect · ArchiMate · UML,https://wuzzuf.net/jobs/p/30Jv0l3dYGB9-Enterprise-Sr-Specialist-Data-Analyst-B-TECH-Cairo-Egypt?o=18&l=sp&t=sj&a=data science jobs|search-v3|navbl
Junior Data Analyst,Z2 Data -,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 0 - 1 Yrs of Exp · Analyst/Research · Data Analysis · Analysis · Commerce · Computer Science · Information Technology (IT) · English · MS Office,https://wuzzuf.net/jobs/p/vRmBDfFqeBXN-Junior-Data-Analyst-Z2-Data-Cairo-Egypt?o=19&l=sp&t=sj&a=data science jobs|search-v3|navbl
Data Analyst| MIS,GlobeMed Egypt -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · MIS · Data Analytics · SAS · SQL · Tableau · Analysis · Database · Information Technology (IT),https://wuzzuf.net/jobs/p/UZjhvK3rVYOC-Data-Analyst-MIS-GlobeMed-Egypt-Cairo-Egypt?o=20&l=sp&t=sj&a=data science jobs|search-v3|navbl
Data Analyst,Arma Foods  -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Analyst/Research · Data Analysis · Analysis · Computer Science · Information Technology (IT) · Reporting · Power BI · IT · analytical · Data,https://wuzzuf.net/jobs/p/3ZTNoLhqBc6T-Data-Analyst-Arma-Foods-Cairo-Egypt?o=21&l=sp&t=sj&a=data science jobs|search-v3|navbl
Data Scientist,Seoudi Supermarket -,"Sheikh Zayed, Giza, Egypt ",Full TimeEntry Level · 1 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Science · Programming · Machine Learning · Python · Data Analytics · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/yvKLvGcoRMNa-Data-Scientist-Seoudi-Supermarket-Giza-Egypt?o=22&l=sp&t=sj&a=data science jobs|search-v3|navbl
